land,indeed,linkedIn,xing
Papua-Neuguinea,,,
St. Helena,,,
Vereinigte Arabische Emirate,,,
Luxemburg,,,
Monaco,,,
Singapur,,,
Irland,33,67,1
Niederlande,23,77,1
Gibraltar,,,
Jersey,,,
Vereinigtes Königreich,43,57,1
Guernsey,,,
Kanada,44,56,1
Isle of Man,,,
Australien,22,78,1
Kaimaninseln,,,
Katar,,,
Dänemark,,,
Bermuda,,,
Südafrika,,,
Malta,,,
Hongkong,,,
Belgien,24,76,1
Botsuana,,,
Vereinigte Staaten,49,51,1
Mauritius,,,
Portugal,,,
Seychellen,,,
Neuseeland,,,
Amerikanische Jungferninseln,,,
Schweiz,21,62,17
"Bonaire, Sint Eustatius und Saba",,,
Spanien,16,83,1
Italien,24,76,1
Simbabwe,,,
Turks- und Caicosinseln,,,
Indien,15,85,1
Frankreich,43,57,1
Madagaskar,,,
Curaçao,,,
Kenia,,,
Zypern,,,
Andorra,,,
Pakistan,,,
Kongo-Brazzaville,,,
Bahrain,,,
Serbien,,,
Finnland,,,
Libanon,,,
Eswatini,,,
Albanien,,,
Tunesien,,,
Schweden,15,85,1
Britische Jungferninseln,,,
Senegal,,,
Vanuatu,,,
Sambia,,,
Fidschi,,,
Malediven,,,
Britisches Territorium im Indischen Ozean,,,
Sri Lanka,,,
Angola,,,
Liechtenstein,,,
Nordmazedonien,,,
Griechenland,,,
Äquatorialguinea,,,
Barbados,,,
Zentralafrikanische Republik,,,
Oman,,,
Trinidad und Tobago,,,
Deutschland,23,23,54
Guam,,,
Namibia,,,
Kroatien,,,
Bangladesch,,,
Malawi,,,
Israel,,,
Sint Maarten,,,
Peru,,,
Puerto Rico,,,
Côte d’Ivoire,,,
Kuba,,,
Chile,,,
Norwegen,,,
Uruguay,,,
Grönland,,,
Aruba,,,
Kamerun,,,
San Marino,,,
Togo,,,
St. Lucia,,,
Uganda,,,
Ruanda,,,
Afghanistan,,,
Salomonen,,,
Ålandinseln,,,
Marokko,,,
Lesotho,,,
Ghana,,,
Jordanien,,,
Anguilla,,,
Nigeria,,,
Liberia,,,
Panama,,,
Philippinen,,,
Tschechien,,,
Argentinien,,,
Neukaledonien,,,
Rumänien,,,
Brasilien,,,
Montenegro,,,
Bahamas,,,
Benin,,,
Slowenien,,,
Dschibuti,,,
Jamaika,,,
Gambia,,,
Gabun,,,
St. Kitts und Nevis,,,
Myanmar,,,
Antigua und Barbuda,,,
Suriname,,,
Südsudan,,,
Äthiopien,,,
Tschad,,,
Grenada,,,
Mosambik,,,
St. Vincent und die Grenadinen,,,
Samoa,,,
Malaysia,24,75,1
Nepal,,,
Türkei,10,86,4
Macau,,,
Kuwait,,,
Bulgarien,,,
St. Martin,,,
Dominica,,,
Mexiko,57,43,1
Kosovo,,,
Algerien,,,
Tansania,,,
Costa Rica,,,
Sierra Leone,,,
Niger,,,
Saudi-Arabien,,,
Island,,,
Aserbaidschan,,,
Litauen,,,
Österreich,16,38,46
Färöer,,,
Bosnien und Herzegowina,,,
Lettland,,,
Cabo Verde,,,
Armenien,,,
Kongo-Kinshasa,,,
Kambodscha,,,
Estland,,,
Ägypten,,,
Französisch-Polynesien,,,
Mauretanien,,,
Nördliche Marianen,,,
Polen,29,71,1
Nicaragua,,,
Bhutan,,,
Kolumbien,,,
Belize,,,
Burkina Faso,,,
Mali,,,
Martinique,,,
Haiti,,,
Réunion,,,
Brunei Darussalam,,,
Timor-Leste,,,
Guadeloupe,,,
El Salvador,,,
Ungarn,,,
Burundi,,,
Somalia,,,
St. Barthélemy,,,
Slowakei,,,
Guyana,,,
Dominikanische Republik,,,
Mayotte,,,
Ecuador,,,
Guatemala,,,
Guinea,,,
Georgien,,,
Westsahara,,,
Mongolei,,,
Französisch-Guayana,,,
Honduras,,,
Venezuela,,,
Indonesien,,,
Laos,,,
Paraguay,,,
Iran,,,
Südkorea,,,
Ukraine,,,
Japan,75,25,1
Sudan,,,
Taiwan,,,
Turkmenistan,,,
Bolivien,,,
China,,,
Republik Moldau,,,
Belarus,,,
Palästina,,,
Libyen,,,
Kasachstan,,,
Syrien,,,
Irak,,,
Jemen,,,
Russland,25,74,1
Thailand,,,
Usbekistan,,,
Tadschikistan,,,
Vietnam,,,
Kirgisistan,,,
Norfolkinsel,,,
Nauru,,,
Falklandinseln (Malwinen),,,
St. Pierre und Miquelon,,,
Amerikanisch-Samoa,,,
Montserrat,,,
Marshallinseln,,,
Eritrea,,,
Cookinseln,,,
Spitzbergen und Jan Mayen,,,
Mikronesien,,,
Tonga,,,
Palau,,,
Komoren,,,
Guinea-Bissau,,,
São Tomé und Príncipe,,,
Antarktis,,,
Französische Süd- und Antarktisgebiete,,,
Bouvetinsel,,,
Kokosinseln,,,
Weihnachtsinsel,,,
Heard und McDonaldinseln,,,
Kiribati,,,
Niue,,,
Pitcairninseln,,,
Nordkorea,,,
Südgeorgien und die Südlichen Sandwichinseln,,,
Tokelau,,,
Tuvalu,,,
Amerikanische Überseeinseln,,,
Vatikanstadt,,,
Wallis und Futuna,,,
